mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.11520202954610188,0.009342442444387766,0.03165523211161295,7.739718143364849e-05,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5283726027397257,-0.4690000000000009,-0.4358602739726034,-0.47774429223744336,0.03827078719275213,26
0.1670520305633545,0.013091343564522979,0.03684067726135254,0.0073538348556767925,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5182561643835623,-0.4746890410958887,-0.4377753424657538,-0.47690684931506827,0.032893562481781505,24
0.31173547108968097,0.007644118441951109,0.06409581502278645,0.001390269105710686,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5192191780821913,-0.47687739726026834,-0.43334999999999885,-0.4764821917808195,0.03505705898157137,22
0.11014890670776367,0.0012618218251066204,0.03300372759501139,0.0019417952869412783,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5038712946490344,-0.47723525025203123,-0.4331087401259315,-0.471405095008999,0.029181361783133294,12
0.1597140630086263,0.015219086116624456,0.042943080266316734,0.007030420142003514,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5072753527446678,-0.4764278606097097,-0.4382394878029116,-0.47398090038576307,0.028236836140253442,18
0.3303457895914714,0.025063961566320906,0.06344310442606609,0.0014725721262639519,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080087336103772,-0.4752823505223842,-0.43730444196024465,-0.473531842031002,0.028891433844890808,16
0.09659409523010254,0.01665705871748026,0.03308749198913574,0.0016365538010401992,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.49203505779071877,-0.47704363512783654,-0.4359337587532387,-0.468337483890598,0.023716193348953835,8
0.15517171223958334,0.0022052618320043396,0.04414145151774088,0.007296304945682924,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214663,-0.47179262099279795,-0.43750183776043955,-0.46634359922179475,0.021669943183090762,2
0.3117496967315674,0.016049167385516254,0.05218935012817383,0.00792449758519335,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4914936512197574,-0.47203546231209365,-0.43703004650312366,-0.46685305334499155,0.022534626418161563,5
0.10048381487528484,0.005159569404948951,0.03775469462076823,0.007088584308900719,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5282031572124011,-0.47105377826686456,-0.42856831758321906,-0.4759417510208282,0.040822334779021995,21
0.1622182528177897,0.007911357030077002,0.04158337910970052,0.005681462348135789,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5209910852649128,-0.4714825458848293,-0.43347918915674083,-0.4753176067688276,0.035829352576715184,20
0.2893219788869222,0.007604078212537486,0.04834938049316406,0.0009204871714779256,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5172597579246974,-0.46693569030867277,-0.4294038933343794,-0.47119978052258316,0.0359935187197394,11
0.09485554695129395,0.0013749987858194068,0.03133638699849447,0.00040753192720133805,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5041209372022676,-0.4769489560378818,-0.43158927181792,-0.47088638835268976,0.02991963308665278,10
0.16167449951171875,0.019779313254084892,0.037742058436075844,0.006971412984783301,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5073221832505396,-0.4745862177997212,-0.43701958339975827,-0.472975994816673,0.0287234921273641,15
0.2987690766652425,0.012834254095196064,0.048621813456217446,0.0009027292993053356,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080138876175528,-0.4729369332853383,-0.4338467677556282,-0.47159919621950647,0.030293371909778655,14
0.0871426264444987,0.00707022517786863,0.027615706125895183,0.007096303165429316,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4920350577907189,-0.47626431103287,-0.4356188369089133,-0.4679727352441674,0.023766365118811902,7
0.1443469524383545,0.008662397872681433,0.0382073720296224,0.006397329645973569,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214685,-0.47151862691137075,-0.43743264647720725,-0.46622920410024166,0.0216779850822343,1
0.2933778762817383,0.016422108013377838,0.06254919370015462,0.006503033709672338,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4914936512197564,-0.47181247307522844,-0.43635774528784493,-0.4665546231942766,0.022814115071757905,4
0.09790174166361491,0.0074406608319112465,0.03296510378519694,0.001016357202890706,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5281075342465744,-0.4688481911087399,-0.438445509893456,-0.4784670784162568,0.03723091813310395,27
0.14533138275146484,0.008005672673783435,0.03341905275980631,0.0014706642102761305,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5181085616438365,-0.4752921712229915,-0.43929607197216824,-0.47756560161299877,0.032215198238981946,25
